timeStamp,sales,transactions
2012-12-31 00:00:00,2983.12,419
2013-01-01 00:00:00,1850.74,250
2013-01-02 00:00:00,3214.52,486
2013-01-03 00:00:00,3385.12,487
2013-01-04 00:00:00,3355.18,527
2013-01-05 00:00:00,2258.38,345
2013-01-06 00:00:00,2150.09,311
2013-01-07 00:00:00,3147.29,522
2013-01-08 00:00:00,2732.36,461
2013-01-09 00:00:00,3479.9,555
2013-01-10 00:00:00,3340.25,507
2013-01-11 00:00:00,3086.43,484
2013-01-12 00:00:00,2510.24,374
2013-01-13 00:00:00,1878.85,269
2013-01-14 00:00:00,2711.49,448
2013-01-15 00:00:00,3047.08,518
2013-01-16 00:00:00,3968.98,600
2013-01-17 00:00:00,3363.33,540
2013-01-18 00:00:00,3189.93,527
2013-01-19 00:00:00,2165.59,324
2013-01-20 00:00:00,2019.38,300
2013-01-21 00:00:00,2740.85,441
2013-01-22 00:00:00,2921.55,507
2013-01-23 00:00:00,3371.61,533
2013-01-24 00:00:00,3227.3,517
2013-01-25 00:00:00,3305.11,523
2013-01-26 00:00:00,2155.17,316
2013-01-27 00:00:00,2185.14,337
2013-01-28 00:00:00,2817.53,481
2013-01-29 00:00:00,3117.9,529
2013-01-30 00:00:00,3417.52,544
2013-01-31 00:00:00,3642.63,584
2013-02-01 00:00:00,3613.18,560
2013-02-02 00:00:00,2566.84,386
2013-02-03 00:00:00,1562.2,251
2013-02-04 00:00:00,3237.95,510
2013-02-05 00:00:00,3579.98,571
2013-02-06 00:00:00,3468.48,543
2013-02-07 00:00:00,3276.03,528
2013-02-08 00:00:00,3415.61,537
2013-02-09 00:00:00,2347.72,331
2013-02-10 00:00:00,1901.57,299
2013-02-11 00:00:00,3245.37,528
2013-02-12 00:00:00,3096.66,499
2013-02-13 00:00:00,3374.55,542
2013-02-14 00:00:00,2763.55,443
2013-02-15 00:00:00,3532.14,516
2013-02-16 00:00:00,2835.06,373
2013-02-17 00:00:00,2083.23,311
2013-02-18 00:00:00,2984.02,473
2013-02-19 00:00:00,3165.48,519
2013-02-20 00:00:00,3327.1,504
2013-02-21 00:00:00,3701.59,553
