timeStamp,sales,transactions
2012-12-31 00:00:00,2919.51,431
2013-01-01 00:00:00,1288.6,191
2013-01-02 00:00:00,2895.62,443
2013-01-03 00:00:00,2997.13,477
2013-01-04 00:00:00,3340.63,499
2013-01-05 00:00:00,2254.3,354
2013-01-06 00:00:00,1946.88,302
2013-01-07 00:00:00,2830.84,461
2013-01-08 00:00:00,2833.66,465
2013-01-09 00:00:00,2978.66,480
2013-01-10 00:00:00,3127.26,515
2013-01-11 00:00:00,3638.69,541
2013-01-12 00:00:00,2277.96,368
2013-01-13 00:00:00,1749.19,281
2013-01-14 00:00:00,2754.11,449
2013-01-15 00:00:00,2899.2,487
2013-01-16 00:00:00,4164.13,596
2013-01-17 00:00:00,3177.56,507
2013-01-18 00:00:00,3785.51,579
2013-01-19 00:00:00,2693.33,387
2013-01-20 00:00:00,1822.92,259
2013-01-21 00:00:00,2189.45,371
2013-01-22 00:00:00,2473.25,422
2013-01-23 00:00:00,2904.55,494
2013-01-24 00:00:00,3365.76,527
2013-01-25 00:00:00,3664.27,574
2013-01-26 00:00:00,2501.75,367
2013-01-27 00:00:00,1923.3,318
2013-01-28 00:00:00,3052.95,475
2013-01-29 00:00:00,2617.65,461
2013-01-30 00:00:00,3142.97,491
2013-01-31 00:00:00,3390.82,539
2013-02-01 00:00:00,3845.82,602
2013-02-02 00:00:00,2822.97,423
2013-02-03 00:00:00,1636,261
2013-02-04 00:00:00,3042.26,491
2013-02-05 00:00:00,3111.73,493
2013-02-06 00:00:00,2924.14,484
2013-02-07 00:00:00,3387.96,506
2013-02-08 00:00:00,3092.96,493
2013-02-09 00:00:00,2898.58,423
2013-02-10 00:00:00,1762.14,272
2013-02-11 00:00:00,3402.92,511
2013-02-12 00:00:00,3047.72,486
2013-02-13 00:00:00,3166.07,494
2013-02-14 00:00:00,2971.14,462
2013-02-15 00:00:00,3582.68,528
2013-02-16 00:00:00,3016.86,416
2013-02-17 00:00:00,2360.59,330
2013-02-18 00:00:00,2603.96,384
2013-02-19 00:00:00,3227.86,483
2013-02-20 00:00:00,3248.58,505
2013-02-22 00:00:00,3803.18,539
2013-02-23 00:00:00,2748.47,404
2013-02-24 00:00:00,2261.86,295
2013-02-25 00:00:00,3357.12,511
2013-02-26 00:00:00,3237.86,486
2013-02-27 00:00:00,3588.19,542
2013-02-28 00:00:00,3886.5,571
2013-03-01 00:00:00,4292.37,606
2013-03-02 00:00:00,2897.8,416
2013-03-03 00:00:00,2182.29,308
2013-03-04 00:00:00,2845.85,448
2013-03-05 00:00:00,3365.91,512
2013-03-06 00:00:00,3417.66,544
2013-03-07 00:00:00,3213.31,503
2013-03-08 00:00:00,3408.38,504
2013-03-09 00:00:00,2463.5,364
2013-03-10 00:00:00,1801.93,260
