timeStamp,sales,transactions
2012-12-31 00:00:00,3282.25,419
2013-01-01 00:00:00,2777.24,312
2013-01-02 00:00:00,3268.37,443
2013-01-03 00:00:00,3920.86,505
2013-01-04 00:00:00,4089.07,576
2013-01-05 00:00:00,3797.66,457
2013-01-06 00:00:00,2939.94,346
2013-01-07 00:00:00,2754.36,402
2013-01-08 00:00:00,3018.23,446
2013-01-09 00:00:00,3214.56,469
2013-01-10 00:00:00,3198.87,446
2013-01-11 00:00:00,4578.12,592
2013-01-12 00:00:00,3667.36,461
2013-01-13 00:00:00,3025.52,370
2013-01-14 00:00:00,2406.61,365
2013-01-15 00:00:00,2869.19,424
2013-01-16 00:00:00,3263.54,475
2013-01-17 00:00:00,3472.35,490
2013-01-18 00:00:00,3950.2,559
2013-01-19 00:00:00,3983.23,497
2013-01-20 00:00:00,3219.45,404
2013-01-21 00:00:00,2774.95,403
2013-01-22 00:00:00,2386.25,369
2013-01-23 00:00:00,2706.05,414
2013-01-24 00:00:00,3166.15,466
2013-01-25 00:00:00,3803.94,518
2013-01-26 00:00:00,3916.59,468
2013-01-27 00:00:00,3004.99,352
2013-01-28 00:00:00,2865.3,440
2013-01-29 00:00:00,2693.61,429
2013-01-30 00:00:00,3154.82,464
2013-01-31 00:00:00,3320.51,461
2013-02-01 00:00:00,4377.46,594
2013-02-02 00:00:00,3293.25,416
2013-02-03 00:00:00,2869.52,347
2013-02-04 00:00:00,3117.52,465
2013-02-05 00:00:00,3131.69,469
2013-02-06 00:00:00,3473.96,522
2013-02-07 00:00:00,3725.09,535
2013-02-08 00:00:00,4465,586
2013-02-09 00:00:00,3836.61,481
2013-02-10 00:00:00,3391.69,389
2013-02-11 00:00:00,3008.26,452
2013-02-12 00:00:00,3264.53,472
2013-02-13 00:00:00,3226.93,478
2013-02-14 00:00:00,3582.37,506
2013-02-15 00:00:00,5159.65,645
2013-02-16 00:00:00,4120.77,488
2013-02-17 00:00:00,3465.89,411
2013-02-18 00:00:00,3851.57,500
2013-02-19 00:00:00,3353.8,475
2013-02-20 00:00:00,3251.28,483
2013-02-21 00:00:00,3137.48,455
2013-02-22 00:00:00,4314.86,550
2013-02-23 00:00:00,3770.24,470
2013-02-24 00:00:00,3373.76,418
2013-02-25 00:00:00,3142.43,464
2013-02-26 00:00:00,3262.33,472
2013-02-27 00:00:00,3109.81,457
2013-02-28 00:00:00,3911.46,539
2013-03-01 00:00:00,5252.76,682
2013-03-02 00:00:00,3988.61,493
2013-03-03 00:00:00,3676.09,436
2013-03-04 00:00:00,3086.68,447
2013-03-05 00:00:00,2572.81,369
2013-03-06 00:00:00,3201.65,439
2013-03-07 00:00:00,3822.07,530
2013-03-08 00:00:00,4406.34,572
2013-03-09 00:00:00,3601.98,467
2013-03-10 00:00:00,3228.64,385
2013-03-11 00:00:00,3088.39,468
2013-03-12 00:00:00,2912.92,437
2013-03-13 00:00:00,2913.42,443
2013-03-14 00:00:00,3624.25,497
2013-03-15 00:00:00,4280.47,574
2013-03-16 00:00:00,4550.22,540
2013-03-17 00:00:00,4501.83,522
2013-03-18 00:00:00,3306.82,469
2013-03-19 00:00:00,3236.18,487
2013-03-20 00:00:00,3585.9,501
2013-03-21 00:00:00,3512.82,477
2013-03-22 00:00:00,5434.47,672
2013-03-23 00:00:00,4609.47,564
2013-03-24 00:00:00,2520.61,296
2013-03-25 00:00:00,2490.23,325
2013-03-26 00:00:00,3533.73,500
2013-03-27 00:00:00,3809.66,516
2013-03-28 00:00:00,4464.69,606
2013-03-29 00:00:00,5902.54,690
2013-03-30 00:00:00,4322.21,501
2013-03-31 00:00:00,3306.56,391
2013-04-01 00:00:00,3532.09,477
2013-04-02 00:00:00,3142.9,449
2013-04-03 00:00:00,3885.01,543
2013-04-04 00:00:00,3698.76,513
2013-04-05 00:00:00,4783.82,607
2013-04-06 00:00:00,4103.64,498
2013-04-07 00:00:00,3952.73,496
2013-04-08 00:00:00,3509.51,488
2013-04-09 00:00:00,3512.04,499
2013-04-10 00:00:00,3446.27,520
2013-04-11 00:00:00,4172,574
2013-04-12 00:00:00,5240.85,691
2013-04-13 00:00:00,4488.68,560
2013-04-14 00:00:00,3906.24,475
2013-04-15 00:00:00,3172.23,482
2013-04-16 00:00:00,3245.44,498
2013-04-17 00:00:00,3594.46,531
2013-04-18 00:00:00,3207.25,456
2013-04-19 00:00:00,5082.2,679
2013-04-20 00:00:00,4279.87,527
2013-04-21 00:00:00,3488.43,435
2013-04-22 00:00:00,3313.7,493
2013-04-23 00:00:00,3161.6,478
2013-04-24 00:00:00,3523.25,520
2013-04-25 00:00:00,3834.58,548
2013-04-26 00:00:00,5005.7,640
2013-04-27 00:00:00,4303.42,525
2013-04-28 00:00:00,3705.39,475
2013-04-29 00:00:00,3198.25,464
2013-04-30 00:00:00,3758,547
2013-05-01 00:00:00,3668.58,559
2013-05-02 00:00:00,4340.07,616
2013-05-03 00:00:00,5461.52,690
2013-05-04 00:00:00,4688.16,553
2013-05-05 00:00:00,3915.5,490
2013-05-06 00:00:00,3728.39,544
2013-05-07 00:00:00,3551.08,503
2013-05-08 00:00:00,3809.94,533
2013-05-09 00:00:00,3676.51,518
2013-05-10 00:00:00,5364.14,733
2013-05-11 00:00:00,4565.98,546
2013-05-12 00:00:00,3642.07,461
2013-05-13 00:00:00,3613.92,530
2013-05-14 00:00:00,3465.91,524
2013-05-15 00:00:00,3693.2,538
2013-05-16 00:00:00,4201.74,581
2013-05-17 00:00:00,5196.29,702
2013-05-18 00:00:00,4703.18,548
2013-05-19 00:00:00,4085.33,503
2013-05-20 00:00:00,3677.13,539
2013-05-21 00:00:00,3720.85,574
2013-05-22 00:00:00,3829.84,560
2013-05-23 00:00:00,3998.29,540
2013-05-24 00:00:00,5904.57,762
2013-05-25 00:00:00,4213.56,512
2013-05-26 00:00:00,3733.07,463
2013-05-27 00:00:00,3712.93,438
2013-05-28 00:00:00,3627.75,568
2013-05-29 00:00:00,3855.33,580
2013-05-30 00:00:00,4664.14,618
2013-05-31 00:00:00,5799.26,770
2013-06-01 00:00:00,4283.83,558
2013-06-02 00:00:00,4129.28,533
