timeStamp,sales,transactions
2015-06-09 00:00:00,19.5,1
2015-06-14 00:00:00,12,1
2015-06-19 00:00:00,13.2,1
2015-06-20 00:00:00,24,2
2015-06-21 00:00:00,14.4,1
2015-06-24 00:00:00,27,2
2015-06-25 00:00:00,27,2
2015-06-27 00:00:00,12,1
2015-07-03 00:00:00,17,1
2015-07-09 00:00:00,29,2
2015-07-10 00:00:00,17,1
2015-07-14 00:00:00,17,1
2015-07-17 00:00:00,12,1
2015-07-18 00:00:00,12,1
2015-07-21 00:00:00,17,1
2015-07-22 00:00:00,17,1
2015-07-23 00:00:00,12,1
2015-07-24 00:00:00,12,1
2015-07-28 00:00:00,49.6,3
2015-07-29 00:00:00,12.6,1
2015-07-30 00:00:00,12,1
2015-07-31 00:00:00,12,1
2015-08-02 00:00:00,24,2
2015-08-04 00:00:00,12,1
2015-08-07 00:00:00,12,1
2015-08-09 00:00:00,17,1
2015-08-12 00:00:00,25.8,2
2015-08-14 00:00:00,12,1
2015-08-22 00:00:00,24,2
2015-08-26 00:00:00,24,2
2015-08-28 00:00:00,24,2
2015-08-29 00:00:00,12,1
2015-09-02 00:00:00,12,1
2015-09-03 00:00:00,12,1
2015-09-10 00:00:00,34,2
2015-09-11 00:00:00,22,1
2015-09-13 00:00:00,12,1
2015-09-17 00:00:00,15.6,1
2015-09-18 00:00:00,17,1
2015-09-19 00:00:00,12,1
2015-09-22 00:00:00,15,1
2015-09-23 00:00:00,24,2
2015-09-26 00:00:00,12,1
2015-09-30 00:00:00,12,1
2015-10-02 00:00:00,12,1
2015-10-06 00:00:00,12,1
2015-10-07 00:00:00,24,2
2015-10-09 00:00:00,12,1
2015-10-10 00:00:00,12,1
2015-10-14 00:00:00,17,1
2015-10-15 00:00:00,17,1
2015-10-22 00:00:00,24,2
2015-10-23 00:00:00,24,2
2015-10-27 00:00:00,24,2
2015-11-03 00:00:00,12,1
2015-11-05 00:00:00,24,2
2015-11-06 00:00:00,60,5
