timeStamp,sales,transactions
2015-06-13 00:00:00,35,1
2015-06-16 00:00:00,74.75,1
2015-06-17 00:00:00,65,1
2015-06-18 00:00:00,65,1
2015-06-25 00:00:00,65,1
2015-06-28 00:00:00,71.5,1
2015-07-01 00:00:00,71.5,1
2015-07-02 00:00:00,65,1
2015-07-05 00:00:00,146.25,2
2015-07-15 00:00:00,78,1
2015-07-16 00:00:00,78,1
2015-07-21 00:00:00,78,1
2015-07-26 00:00:00,65,1
2015-07-30 00:00:00,139.75,2
2015-07-31 00:00:00,143,2
2015-08-01 00:00:00,65,1
2015-08-04 00:00:00,81.25,1
2015-08-07 00:00:00,78,1
2015-08-09 00:00:00,78,1
2015-08-11 00:00:00,74.75,1
2015-08-18 00:00:00,78,1
2015-08-22 00:00:00,78,1
2015-08-23 00:00:00,74.75,1
2015-08-27 00:00:00,65,1
2015-08-28 00:00:00,84.5,1
2015-08-29 00:00:00,65,1
2015-09-01 00:00:00,71.5,1
2015-09-03 00:00:00,65,1
2015-09-04 00:00:00,74.75,1
2015-09-06 00:00:00,78,1
2015-09-08 00:00:00,84.5,1
2015-09-10 00:00:00,65,1
2015-09-13 00:00:00,68.25,1
2015-09-17 00:00:00,81.25,1
2015-09-23 00:00:00,78,1
2015-10-01 00:00:00,84.5,1
2015-10-02 00:00:00,78,1
2015-10-11 00:00:00,65,1
2015-10-14 00:00:00,65,1
2015-10-16 00:00:00,65,1
2015-10-18 00:00:00,65,1
2015-10-22 00:00:00,85,1
2015-10-28 00:00:00,65,1
2015-11-03 00:00:00,65,1
2015-11-05 00:00:00,65,1
2015-11-13 00:00:00,65,1
2015-11-14 00:00:00,65,1
2015-11-15 00:00:00,65,1
2015-11-19 00:00:00,80,1
2015-11-21 00:00:00,145,2
2015-11-25 00:00:00,300,4
2015-12-02 00:00:00,65,1
2015-12-03 00:00:00,130,2
2015-12-05 00:00:00,65,1
2015-12-11 00:00:00,65,1
2015-12-17 00:00:00,65,1
2015-12-18 00:00:00,65,1
2015-12-22 00:00:00,80,1
2015-12-23 00:00:00,65,1
2015-12-24 00:00:00,130,2
2015-12-27 00:00:00,80,1
2015-12-31 00:00:00,65,1
2016-01-02 00:00:00,65,1
2016-01-03 00:00:00,80,1
2016-01-06 00:00:00,130,2
2016-01-07 00:00:00,65,1
2016-01-08 00:00:00,130,2
2016-01-09 00:00:00,130,2
2016-01-14 00:00:00,150,2
2016-01-19 00:00:00,65,1
2016-01-23 00:00:00,130,2
2016-02-12 00:00:00,65,1
2016-02-16 00:00:00,65,1
2016-02-19 00:00:00,65,1
2016-02-20 00:00:00,65,1
2016-02-24 00:00:00,65,1
2016-02-25 00:00:00,65,1
2016-02-27 00:00:00,65,1
2016-03-11 00:00:00,65,1
2016-03-12 00:00:00,65,1
2016-03-13 00:00:00,65,1
2016-03-15 00:00:00,65,1
2016-03-17 00:00:00,65,1
2016-03-18 00:00:00,65,1
2016-03-24 00:00:00,65,1
2016-03-26 00:00:00,65,1
2016-03-30 00:00:00,65,1
2016-04-06 00:00:00,130,2
2016-04-14 00:00:00,130,2
2016-04-15 00:00:00,130,2
2016-04-23 00:00:00,65,1
2016-04-30 00:00:00,65,1
2016-05-04 00:00:00,130,2
2016-05-13 00:00:00,65,1
2016-05-14 00:00:00,65,1
2016-05-17 00:00:00,65,1
2016-05-19 00:00:00,65,1
2016-05-26 00:00:00,210,3
2016-05-27 00:00:00,65,1
2016-05-28 00:00:00,65,1
2016-05-29 00:00:00,65,1
2016-06-01 00:00:00,65,1
2016-06-03 00:00:00,130,2
2016-06-04 00:00:00,80,1
2016-06-08 00:00:00,85,1
2016-06-10 00:00:00,65,1
2016-06-14 00:00:00,65,1
2016-06-17 00:00:00,65,1
2016-06-18 00:00:00,65,1
2016-06-19 00:00:00,325,5
2016-06-28 00:00:00,65,1
2016-07-01 00:00:00,130,2
2016-07-02 00:00:00,65,1
2016-07-14 00:00:00,65,1
2016-07-15 00:00:00,65,1
2016-07-17 00:00:00,65,1
2016-07-21 00:00:00,130,2
2016-07-24 00:00:00,130,2
2016-07-26 00:00:00,65,1
2016-07-30 00:00:00,130,2
2016-07-31 00:00:00,65,1
2016-08-02 00:00:00,65,1
2016-08-03 00:00:00,130,2
2016-08-07 00:00:00,65,1
2016-08-14 00:00:00,65,1
2016-08-17 00:00:00,65,1
2016-08-18 00:00:00,65,1
2016-08-20 00:00:00,65,1
2016-08-23 00:00:00,65,1
2016-08-27 00:00:00,65,1
2016-08-28 00:00:00,65,1
2016-09-02 00:00:00,130,2
2016-09-11 00:00:00,65,1
2016-09-15 00:00:00,65,1
2016-09-22 00:00:00,65,1
2016-09-30 00:00:00,130,2
2016-10-05 00:00:00,65,1
2016-10-09 00:00:00,65,1
2016-10-11 00:00:00,65,1
2016-10-14 00:00:00,65,1
2016-10-16 00:00:00,65,1
2016-10-19 00:00:00,65,1
2016-10-23 00:00:00,65,1
2016-10-25 00:00:00,65,1
2016-10-29 00:00:00,130,2
2016-11-03 00:00:00,65,1
2016-11-04 00:00:00,65,1
2016-11-05 00:00:00,65,1
2016-11-12 00:00:00,65,1
2016-11-27 00:00:00,65,1
2016-11-30 00:00:00,140,2
2016-12-02 00:00:00,65,1
2016-12-06 00:00:00,65,1
2016-12-09 00:00:00,65,1
2016-12-15 00:00:00,65,1
2016-12-16 00:00:00,130,2
2016-12-21 00:00:00,65,1
2016-12-22 00:00:00,65,1
2016-12-23 00:00:00,65,1
2016-12-31 00:00:00,130,2
2017-01-05 00:00:00,65,1
2017-01-07 00:00:00,65,1
2017-01-08 00:00:00,65,1
2017-01-11 00:00:00,130,2
2017-01-18 00:00:00,65,1
2017-01-22 00:00:00,65,1
2017-01-31 00:00:00,65,1
2017-02-04 00:00:00,70,1
2017-02-09 00:00:00,70,1
2017-02-10 00:00:00,70,1
2017-02-11 00:00:00,70,1
2017-02-12 00:00:00,70,1
2017-02-15 00:00:00,70,1
2017-02-18 00:00:00,70,1
2017-02-25 00:00:00,70,1
2017-02-28 00:00:00,70,1
