win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.51,0.17,0.83,15.43,0.1,0.59,0.25,0.34,0.2,0.17,0.36,0.18,0.17,0.14,0.1,0.19,,0.29,0.14,0.15,0.16,0.02,0.17,0.25,0.15,0.1,,0.16,0.13,0.2,0.14,0.1,0.2,0.08,0.22,70,1
0.51,0.24,1.82,19.36,0.17,0.97,0.36,0.47,0.28,0.26,0.21,0.24,0.22,0.22,0.31,0.23,0.26,0.16,0.19,0.24,0.29,0.16,0.28,0.25,0.23,0.25,0.09,0.24,0.27,0.21,0.2,0.23,0.23,0.19,0.23,83,1
0.6,0.19,1.42,26.85,0.17,0.46,0.31,0.37,0.43,0.31,0.16,0.13,0.17,0.2,0.27,,,0.31,0.12,0.15,0.3,0.07,0.09,0.2,0.19,0.18,0.05,0.17,,0.21,0.15,0.21,,0.2,0.33,99,1
0.54,0.19,1.64,19.18,0.12,1.19,0.24,0.41,0.25,0.27,0.33,0.22,0.14,0.17,0.22,0.15,0.17,0.25,0.12,0.11,0.17,0.12,0.23,0.19,0.23,0.25,0.11,0.17,0.19,0.18,0.26,0.22,0.25,0.18,0.22,39,1
0.7,0.19,2.41,8.48,0.29,5.53,0.46,0.45,0.27,0.22,0.35,0.18,0.18,0.2,0.22,0.26,0.19,0.67,0.13,0.16,0.23,0.12,0.19,0.18,0.24,0.15,0.18,0.22,0.21,0.15,0.15,0.22,0.13,0.16,0.19,44,1
0.58,0.2,1.35,16.48,0.14,0.78,0.42,0.44,0.3,0.17,0.14,0.2,0.18,0.23,0.22,0.18,0.24,0.08,0.16,0.22,0.28,0.04,0.3,0.16,0.16,0.21,0.04,0.17,0.23,0.16,0.17,0.14,0.13,0.23,0.24,11,1
0.81,0.19,1.78,118.9,0.14,0.36,0.3,0.32,0.22,0.4,0.2,0.26,0.15,0.26,0.27,0.19,0.23,0.31,0.14,0.16,0.23,0.17,0.24,0.24,0.32,0.25,0.1,0.24,0.2,0.24,0.17,0.21,0.26,0.29,0.28,20,1
0.55,0.22,0.76,51.92,0.07,0.43,0.45,0.4,0.22,0.38,0.37,0.22,0.2,0.26,0.3,0.23,0.28,0.51,0.22,0.21,0.26,0.25,0.31,0.22,0.26,0.27,0.17,0.18,0.24,0.23,0.16,0.35,0.28,0.29,0.23,35,1
0.54,0.21,1.91,10.8,0.21,2.61,0.2,0.41,0.27,0.18,0.2,0.21,0.2,0.23,0.26,0.19,0.27,0.2,0.15,0.23,0.25,0.18,0.28,0.2,0.21,0.32,0.14,0.2,0.24,0.18,0.18,0.18,0.21,0.24,0.18,33,1
0.7,0.17,2.02,31.15,0.16,0.71,0.23,0.43,0.21,0.43,0.22,0.18,0.17,,0.22,0.16,0.23,0.22,0.16,0.08,0.18,,0.12,0.23,0.22,0.33,0.03,0.33,0.23,0.14,,0.07,0.18,0.16,0.18,98,1
