Survived,Pclass,Embarked,Sex,Age,SibSp,Parch,Fare
0,3,S,male,22,1,0,7.25
1,1,C,female,38,1,0,71.2833
1,3,S,female,26,0,0,7.925
1,1,S,female,35,1,0,53.1
0,3,S,male,35,0,0,8.05
0,3,Q,male,,0,0,8.4583
0,1,S,male,54,0,0,51.8625
0,3,S,male,2,3,1,21.075
1,3,S,female,27,0,2,11.1333
1,2,C,female,14,1,0,30.0708
1,3,S,female,4,1,1,16.7
1,1,S,female,58,0,0,26.55
0,3,S,male,20,0,0,8.05
0,3,S,male,39,1,5,31.275
0,3,S,female,14,0,0,7.8542
1,2,S,female,55,0,0,16
0,3,Q,male,2,4,1,29.125
1,2,S,male,,0,0,13
0,3,S,female,31,1,0,18
1,3,C,female,,0,0,7.225
0,2,S,male,35,0,0,26
1,2,S,male,34,0,0,13
1,3,Q,female,15,0,0,8.0292
1,1,S,male,28,0,0,35.5
0,3,S,female,8,3,1,21.075
1,3,S,female,38,1,5,31.3875
0,3,C,male,,0,0,7.225
0,1,S,male,19,3,2,263
1,3,Q,female,,0,0,7.8792
0,3,S,male,,0,0,7.8958
0,1,C,male,40,0,0,27.7208
1,1,C,female,,1,0,146.5208
1,3,Q,female,,0,0,7.75
0,2,S,male,66,0,0,10.5
0,1,C,male,28,1,0,82.1708
0,1,S,male,42,1,0,52
1,3,C,male,,0,0,7.2292
0,3,S,male,21,0,0,8.05
0,3,S,female,18,2,0,18
1,3,C,female,14,1,0,11.2417
0,3,S,female,40,1,0,9.475
0,2,S,female,27,1,0,21
0,3,C,male,,0,0,7.8958
1,2,C,female,3,1,2,41.5792
1,3,Q,female,19,0,0,7.8792
0,3,S,male,,0,0,8.05
0,3,Q,male,,1,0,15.5
1,3,Q,female,,0,0,7.75
0,3,C,male,,2,0,21.6792
0,3,S,female,18,1,0,17.8
0,3,S,male,7,4,1,39.6875
0,3,S,male,21,0,0,7.8
1,1,C,female,49,1,0,76.7292
1,2,S,female,29,1,0,26
0,1,C,male,65,0,1,61.9792
1,1,S,male,,0,0,35.5
1,2,S,female,21,0,0,10.5
0,3,C,male,28.5,0,0,7.2292
1,2,S,female,5,1,2,27.75
0,3,S,male,11,5,2,46.9
0,3,C,male,22,0,0,7.2292
1,1,,female,38,0,0,80
0,1,S,male,45,1,0,83.475
0,3,S,male,4,3,2,27.9
0,1,C,male,,0,0,27.7208
1,3,C,male,,1,1,15.2458
1,2,S,female,29,0,0,10.5
0,3,S,male,19,0,0,8.1583
1,3,S,female,17,4,2,7.925
0,3,S,male,26,2,0,8.6625
0,2,S,male,32,0,0,10.5
0,3,S,female,16,5,2,46.9
0,2,S,male,21,0,0,73.5
0,3,C,male,26,1,0,14.4542
1,3,S,male,32,0,0,56.4958
0,3,S,male,25,0,0,7.65
0,3,S,male,,0,0,7.8958
0,3,S,male,,0,0,8.05
1,2,S,male,0.83,0,2,29
1,3,S,female,30,0,0,12.475
0,3,S,male,22,0,0,9
1,3,S,male,29,0,0,9.5
1,3,Q,female,,0,0,7.7875
0,1,S,male,28,0,0,47.1
1,2,S,female,17,0,0,10.5
1,3,S,female,33,3,0,15.85
0,3,S,male,16,1,3,34.375
0,3,S,male,,0,0,8.05
1,1,S,female,23,3,2,263
0,3,S,male,24,0,0,8.05
0,3,S,male,29,0,0,8.05
0,3,S,male,20,0,0,7.8542
0,1,S,male,46,1,0,61.175
0,3,S,male,26,1,2,20.575
0,3,S,male,59,0,0,7.25
0,3,S,male,,0,0,8.05
0,1,C,male,71,0,0,34.6542
1,1,C,male,23,0,1,63.3583
1,2,S,female,34,0,1,23
0,2,S,male,34,1,0,26
0,3,S,female,28,0,0,7.8958
0,3,S,male,,0,0,7.8958
0,1,S,male,21,0,1,77.2875
0,3,S,male,33,0,0,8.6542
0,3,S,male,37,2,0,7.925
